iter	Passed	Remaining
0	190	189965
1	228	114064
2	254	84421
3	270	67309
4	282	56264
5	316	52464
6	335	47530
7	346	42919
8	360	39746
9	383	37976
10	398	35800
11	411	33884
12	433	32919
13	455	32068
14	466	30652
15	478	29414
16	507	29317
17	523	28533
18	535	27648
19	558	27342
20	585	27293
21	601	26755
22	611	25957
23	625	25452
24	652	25434
25	665	24945
26	676	24371
27	704	24467
28	725	24302
29	737	23860
30	748	23392
31	766	23184
32	786	23058
33	798	22698
34	809	22325
35	833	22307
36	847	22055
37	858	21736
38	870	21440
39	881	21144
40	890	20833
41	916	20901
42	932	20764
43	945	20543
44	975	20705
45	990	20532
46	1001	20298
47	1023	20299
48	1045	20284
49	1058	20109
50	1068	19877
51	1099	20040
52	1116	19949
53	1128	19765
54	1153	19827
55	1168	19699
56	1180	19526
57	1204	19559
58	1223	19521
59	1237	19392
60	1249	19237
61	1278	19336
62	1292	19230
63	1305	19086
64	1331	19156
65	1351	19132
66	1365	19012
67	1376	18869
68	1402	18920
69	1416	18814
70	1426	18669
71	1451	18706
72	1470	18672
73	1483	18563
74	1494	18426
75	1524	18528
76	1540	18469
77	1553	18358
78	1572	18331
79	1599	18398
80	1614	18319
81	1625	18195
82	1651	18245
83	1666	18168
84	1677	18056
85	1703	18105
86	1721	18061
87	1734	17977
88	1749	17907
89	1774	17946
90	1791	17893
91	1803	17797
92	1820	17759
93	1846	17796
94	1861	17734
95	1873	17642
96	1903	17715
97	1918	17654
98	1930	17570
99	1946	17519
100	1976	17588
101	1991	17530
102	2002	17440
103	2015	17363
104	2027	17279
105	2037	17186
106	2048	17100
107	2076	17154
108	2091	17098
109	2102	17008
110	2127	17040
111	2151	17059
112	2164	16990
113	2175	16911
114	2206	16983
115	2224	16949
116	2235	16874
117	2262	16909
118	2277	16861
119	2288	16784
120	2308	16771
121	2319	16695
122	2346	16728
123	2362	16688
124	2373	16616
125	2390	16583
126	2415	16603
127	2428	16547
128	2441	16483
129	2471	16542
130	2488	16505
131	2499	16436
132	2523	16451
133	2542	16428
134	2555	16376
135	2569	16321
136	2599	16373
137	2613	16322
138	2623	16253
139	2644	16246
140	2665	16238
141	2680	16194
142	2698	16174
143	2726	16204
144	2739	16154
145	2750	16088
146	2775	16103
147	2792	16078
148	2806	16027
149	2828	16030
150	2854	16050
151	2868	16004
152	2892	16011
153	2921	16051
154	2936	16007
155	2954	15981
156	2982	16016
157	2997	15975
158	3012	15933
159	3042	15972
160	3058	15939
161	3070	15881
162	3093	15887
163	3107	15840
164	3118	15782
165	3130	15728
166	3159	15758
167	3176	15731
168	3189	15684
169	3202	15633
170	3233	15674
171	3247	15635
172	3259	15582
173	3285	15595
174	3298	15552
175	3329	15589
176	3344	15550
177	3357	15506
178	3376	15486
179	3388	15435
180	3398	15378
181	3429	15411
182	3445	15381
183	3457	15334
184	3473	15303
185	3504	15337
186	3521	15309
187	3536	15276
188	3552	15243
189	3562	15188
190	3575	15142
191	3586	15095
192	3595	15035
193	3627	15072
194	3641	15034
195	3652	14984
196	3669	14957
197	3690	14948
198	3703	14908
199	3717	14868
200	3751	14911
201	3768	14887
202	3780	14843
203	3812	14874
204	3829	14850
205	3840	14802
206	3859	14783
207	3891	14816
208	3905	14782
209	3918	14739
210	3930	14697
211	3960	14721
212	3979	14702
213	3989	14653
214	4017	14667
215	4031	14633
216	4042	14585
217	4050	14530
218	4076	14537
219	4089	14499
220	4099	14451
221	4109	14401
222	4135	14409
223	4151	14382
224	4164	14343
225	4190	14350
226	4207	14328
227	4218	14285
228	4228	14235
229	4238	14188
230	4261	14186
231	4276	14156
232	4287	14112
233	4297	14069
234	4324	14077
235	4338	14044
236	4348	13999
237	4360	13960
